feature,feature_importance
PRSS23,0.010923025948368645
VPS45,0.010585412610363245
WDR89,0.008389689675999878
ANKUB1,0.008277648382423626
RALY,0.006718548431900029
HSPD1,0.006644097369058069
PPP2R2DP1,0.005871887016493203
CNOT6,0.005806231835943713
MIR4797,0.005748532872517776
TEX38,0.005329755007965977
RPUSD4,0.005202555044677697
TMEM79,0.004885348560834616
TLR10,0.004675452700398634
C4orf45,0.004623952298054625
EZH2P1,0.004497802855706781
RPL23AP57,0.004446179869627503
APOBEC3B,0.00432109388912485
SH2B3,0.004113508560702885
KRTAP5-2,0.004104368208386764
MGMT,0.004057324365374572
FBXO43,0.003981503389648978
ABHD16B,0.0037062657933542653
PRRC1,0.003691832704811521
RN7SL88P,0.0036800539190246606
CATSPER1,0.0035832437328549393
C1QL4,0.0034341070741813855
PTGES3L-AARSD1,0.003422999104941534
NOS2,0.0033692758013410236
CRYBG2,0.003287226135838891
SRGN,0.0032800249619358113
PDLIM2,0.0032689111709769164
FGFRL1,0.0032603813059139484
H1-6,0.0032108340483096654
UGT3A2,0.003179261941620995
EVC2,0.0031639163528315254
SYNC,0.003159317585659672
PNRC2,0.0031376191131695314
FCRL2,0.0029680233794811546
MBLAC2,0.002947569009009225
CUL4B,0.002932735838413977
SULT1A1,0.0029142236014070805
MAGI2,0.0028840809503056382
PPP4R1,0.0028318173953008176
SNX29P1,0.0027716915996487163
UTP3,0.002730886390807677
ZNF547,0.0026758853958490296
SEMA4B,0.002627891252359754
RNA5SP466,0.002585350531791659
TDRD6,0.0025493793325292425
GPR88,0.0025308242486040172
IMPG2,0.0024909739816344418
AOX1,0.0024821430261463364
KRTAP21-3,0.0024657345386038783
ZNF202,0.0024426306443992452
USP17L23,0.0024237377874942443
GKAP1,0.0024093306808544482
FBLN2,0.00239618396195572
LINC02258,0.0023385490710528894
GOLGA8R,0.0023140832393820617
RUNX1T1,0.0022632985639620463
KRTAP19-3,0.0022375548942332323
CRPPA,0.0022037290959080595
PRM2,0.0021965324299453963
ROBO3,0.002190244349458208
LINC01916,0.002096170326307818
CMTM7,0.002076703867243145
BRDTP1,0.002059148866989913
NEK11,0.0020445956251346413
HTR1E,0.0020373419272997698
RNU6-431P,0.002017282203275731
NFIL3,0.00201355661302972
OCSTAMP,0.001996329780845821
REP15,0.001969539261661894
TSPAN8,0.0019594562953432894
MBOAT2,0.001935862873698826
EDN2,0.0019299686423935535
RNF146,0.001915466250380996
SPDYE20P,0.0018825599091736394
HSF5,0.001875145455456331
RASAL1,0.0018729714276711248
NHP2,0.0018691972875997708
FBXW9,0.0018610372503384811
H4C8,0.0018602012366171327
RNF133,0.0018596744165218049
CEP41,0.0018570389576404616
LINC02134,0.0018520210318192344
RXFP3,0.0018460357264464121
C2CD4C,0.0018270109420858605
TBC1D20,0.0018108906095487493
RING1,0.0018083783194762376
ASPG,0.0018058068090687578
CLDN11,0.0018004438069566626
MOCS3,0.0017896924098224967
CAPSL,0.0017759550238796017
SLC12A7,0.0017722418619524178
ECD,0.0017698058979866366
LTBP1,0.0017695223327529124
RBPJL,0.00175950452983658
CLPB,0.001755951153728798
CMA1,0.0017463009483339367
TPST1,0.0017455500505845238
WNT1,0.0017331241704116158
ROPN1L,0.001728778984030522
SELENOKP2,0.001713975035776166
KCNJ4,0.0017133457290868337
THSD7A,0.0017046708367490923
LRRC4C,0.0017007832606896014
SYS1,0.0016902822220183948
MTMR7,0.0016798416825986972
FOXP2,0.0016759096817082575
RN7SL652P,0.0016435966073217127
ACSM2B,0.00164297378530038
GATAD1,0.0016173290924389105
RRM1-AS1,0.001601427655490775
SSC4D,0.001600023117017826
NOXA1,0.0015985761403532674
NUMBL,0.0015970520450616324
HNRNPA3,0.001586779740907795
USF2,0.0015743989109505791
UPK1A,0.0015627448977106784
LIPF,0.0015581843782097387
ZNF324,0.0015578493572989088
NACC1,0.0015542801861121835
OR9Q2,0.0015398442271009566
FAM205BP,0.0015361983832745752
LMAN1L,0.0015212722105489304
ACSL5,0.0015155481419245353
NYX,0.0015150391528341856
TEFM,0.0015100495838209311
VCX3A,0.0015072619129704117
RFPL3S,0.0015036362345272225
FBXL14,0.0015036004234868765
MARCKS,0.0015025184292964625
CCNF,0.0014994454348950116
SMG1P3,0.001495133491652543
TNR,0.0014932388619201891
SP3P,0.0014889767960369206
ACOX3,0.0014851918931222895
TTLL6,0.0014744918751630504
ADGRA2,0.0014668578937910009
TUG1,0.0014663853426022306
CFAP73,0.0014479186303857328
DRG1,0.00144645901927139
BPHL,0.0014458031034316296
ATCAY,0.0014451260581211688
ANAPC13,0.0014412515035691186
ADAM30,0.0014333792468536255
DTWD1,0.0014254072817082083
CLCA4-AS1,0.0014214944552996694
DPP10-AS1,0.0014196116907496375
LINC02333,0.0014154759680592985
EFCAB3,0.001406643130914344
ARMC10,0.0014010150186231603
ZNF428,0.0013984697935318963
PLP2,0.001397932383038753
MIR5700,0.0013936943913237271
DNAAF4-CCPG1,0.0013913331383705544
DNAJB11,0.0013879870632895236
OTOR,0.0013861754645326549
OR9G3P,0.0013855098658969794
IGKV2OR2-10,0.0013788282058137637
KNL1,0.0013754954999190868
MEST,0.001375024513557328
FAM13A,0.001371609528781008
HDAC9,0.001368670401045678
SH3PXD2A,0.0013637225569027131
SCLT1,0.0013582866870582092
CRK,0.001353506315810242
E2F6,0.001344708991326279
DUXAP7,0.00134395060787678
NEUROG3,0.0013349382485274206
PCDH10,0.00133455412357942
MIR3689B,0.0013297364562126926
CXCL16,0.0013284366676762022
UBLCP1,0.0013243065063926448
SUSD5,0.001323975260302264
HCG9,0.0013193860503141785
RNU6-445P,0.0013143748967811293
MEF2C,0.0013092679746070745
CCDC171,0.0013087984369742809
DACT1,0.0013078900130961966
CBLN4,0.0013072789056470197
KCNE4,0.0013052996601863054
RPS2P4,0.001303075439003081
PSMG1,0.0012945981899278708
HSD17B7P2,0.001294539071336769
ZNF596,0.001286665981190268
ANKRD45,0.0012852357744167619
HCK,0.001275371912503884
WDR64,0.0012752160607999044
EPS8L3,0.001269340580452211
LINC02108,0.0012677451253442276
CLTB,0.0012634442997814107
SELENBP1,0.0012558904879965682
ZNF577,0.0012540025524940444
QTRT2,0.0012518420141034122
RAB4A,0.0012493170477707457
GAPDHP76,0.001248235202515683
TRABD,0.001244383486050829
NFYB,0.0012427431531899392
KCNJ13,0.0012413084100536148
BCS1L,0.0012369755261995264
PAXBP1,0.0012344411872649151
FCN2,0.0012235379127077566
ZBTB8B,0.0012184056125370212
ALDOB,0.0012163431847084557
DTNB,0.0012132755354266297
SLC6A12,0.001211015648188012
SLC1A5,0.0011991464439721823
DENND5A,0.0011991438176617933
TNIK,0.0011991421596212178
WNT9B,0.0011930360190953119
RTN4IP1,0.0011880006561629348
OR2G2,0.0011874528399783927
KRT18P56,0.0011869200030427275
CTSB,0.0011818060189553831
ZCCHC12,0.0011775065724997855
BEX2,0.0011773267697092623
PDE4C,0.0011766714499453353
CCZ1,0.0011762032369753855
ATF5,0.0011710304904977945
RN7SL580P,0.0011703474931732535
RBM25,0.0011698726738104063
CCDC152,0.001169727239888082
TRBV8-2,0.0011691406595136036
SHLD2P1,0.0011658265903147797
EZR,0.0011657943712849743
DHX36,0.0011587663220241876
SSX2IP,0.0011524983991470774
CELF1,0.0011499405764794461
SPCS2,0.0011498725417061861
BMP6,0.0011492121197003893
OR6C69P,0.0011462414260617051
EIF3KP1,0.001144200602142494
EPB41,0.0011399830752907721
ZCCHC14,0.0011335513090186154
TRUB1,0.0011315195044403418
TSC2,0.0011220007545956893
IFI6,0.001121866862641518
RBM15,0.001121526252515662
PRMT3,0.0011206514208874701
GARS1,0.0011199159279758192
CRTC3,0.0011180973262913108
TULP1,0.0011146033819324822
OR3A2,0.0011130581118436742
LINC00511,0.0011111229787318475
CEP44,0.0011110140526239673
UCP1,0.0011098451806651297
BBS10,0.0011068402143785162
SHBG,0.001106196399112459
CLEC9A,0.00110552296779266
PRM3,0.0011017353461006197
SLC25A38,0.0011001655514096193
TRAPPC11,0.0010957090728063229
RNU6-1108P,0.001088320154520899
MYH16,0.0010800146468654566
HSP90B1,0.0010791548103210324
PAX6,0.0010784657497626988
NCK2,0.0010779064810836263
PDZD8,0.001077736983763252
OR4K1,0.0010763797239390742
KCNQ3,0.0010726833278697906
SH3D19,0.0010706513312428265
CHDH,0.0010705060216102719
FBXL5,0.0010700830213181448
RPL12P22,0.0010667796787796882
CCDC114,0.0010661759455791316
HOXC11,0.0010637302604720503
BUD23,0.0010614038147200855
CYTH3,0.0010613419103463347
AK9,0.0010612073523588578
OR10J3,0.0010611135711592959
NKD2,0.0010583898425959234
PSMB9,0.0010570633585397923
LHX3,0.0010554608316033134
SLC22A14,0.0010520142216146483
PDE7A,0.0010508089779392865
USP17L18,0.0010478729374067991
ROGDI,0.0010457273826249848
ELN,0.001045298703844893
SLC12A6,0.0010430396576380544
LCE3D,0.001040320015530717
USP9YP20,0.0010354987016064387
RNF215,0.001034111795098934
NEBL,0.0010341087528048022
THSD7B,0.0010285263424718405
FBXL22,0.0010280276501475468
PPM1J,0.0010271325219048985
LNX2,0.001026324614118891
CAMK4,0.001025932102586913
CD27,0.001021808384689132
FBXO36,0.001021410627027799
GNAI2,0.0010213559827112306
PLN,0.0010202696591293586
REEP6,0.0010192876530747427
SLC38A10,0.001019169157280844
CIR1,0.0010187095966114436
PRB4,0.0010180283993445635
C5orf15,0.0010162169312711922
GRB7,0.001014864319901259
PLP1,0.0010129568646499556
ZNF749,0.0010117724192147076
RPSAP67,0.0010080395696798008
GPN1,0.001007720755711285
PPP1R26P4,0.0010064419876661033
NLRP6,0.0010046762219626396
CALHM6,0.0010030174697102405
ZBTB7A,0.0010025167660763059
DDX17,0.0010018471326637814
MTND4P24,0.0009961783596400182
NBEAL1,0.0009954983565082871
DMXL1,0.0009948891170045054
KRT18P59,0.0009922170120305813
KCNH6,0.0009917797558647045
ZNF100,0.00099172969668515
SEMA3F,0.0009911443734154878
RSPO4,0.0009911093982150343
LINC02290,0.0009909430266544063
SLC6A4,0.0009875567558417708
CCT2,0.0009863613766039785
PTCD3,0.0009835307077395545
REG1A,0.0009821054703449661
RPP25L,0.0009807828675297676
MPP4,0.0009804469422210265
NAA11,0.0009789360259841592
BAHD1,0.0009779756889051643
TMEM143,0.0009764499918200045
TNFSF14,0.0009755602194248218
LINC01237,0.0009754624505603598
CHST6,0.0009754351812762318
RPL7P17,0.0009750481069986506
SHCBP1,0.0009741835540293736
CHRNA10,0.0009739816256005774
TK1,0.0009721242108442755
FNDC11,0.0009714669705088018
RPS25,0.0009714663496755743
NUBP1,0.0009710464469130514
RAF1,0.0009703076720165495
TAS2R10,0.000969364117967875
GNG13,0.0009692189084067326
BAG1,0.0009687279213410085
SPNS1,0.000966667258330813
MRPL1,0.0009663779362756855
MIER2,0.0009655531377333788
ZMYM5,0.0009631099202279291
SLC10A4,0.0009616681539702048
LHX5,0.000958578410140393
LINC01467,0.0009579932337979587
ZMYND10,0.0009570757250460937
STX2,0.0009565965672930668
NFE2L2,0.000955689905251813
GCSHP2,0.0009554239210712692
APOA5,0.0009537807773124448
SORBS2,0.0009515268578133085
MT3,0.0009455370074852964
RNF112,0.0009455188490512964
MMS19,0.0009453664699444469
ATRIP,0.0009425897370274222
GSTM5,0.0009394706631951054
CEP104,0.000938664067340152
KIAA1324L,0.0009381933076770445
MFSD10,0.0009380476774332508
COL11A1,0.0009371291742034063
AAR2,0.0009349071789263377
GXYLT1,0.0009335693144432579
SLAIN1,0.0009307431894398808
THAP11,0.0009297323062213678
OR56A1,0.0009292345333726482
SPATA2,0.0009273419946347111
OR5AP2,0.0009265051065344937
TBXT,0.0009256616772851101
TMEM220-AS1,0.000924776548098995
MAP4K5,0.0009233690710870735
FAM168B,0.0009192308439756659
UBE3A,0.000915030878407032
PYURF,0.0009148680700220342
RPL5,0.0009111302751181237
IL18BP,0.0009103245923725646
ZNF182,0.0009097645742649013
CACNA2D2,0.0009096063676058284
DCST1,0.0009060708735487427
RHOXF2B,0.000905292429552463
TMEM121,0.0009033970538386492
MME-AS1,0.0009024917565860238
RN7SL341P,0.0009009714119716116
SNORD54,0.0009008470119436371
DSTYK,0.0009007845036669799
TNFRSF10A,0.0008993196175327998
VNN2,0.0008992543027561978
SPNS2,0.0008976881233702094
SLC16A9,0.0008974780842841315
SSPN,0.0008956048469281621
ARL4A,0.0008952910600570685
FBXO4,0.0008945626400208815
RNFT1,0.000892322291254519
INTS6-AS1,0.0008923021653228541
RCHY1,0.0008920308220045709
KLK1,0.0008897361098615875
BOLA2-SMG1P6,0.0008891518469642568
RASL12,0.000886204455787417
CHRDL2,0.000883147636594973
SH2D6,0.000882833173878994
GDNF,0.0008791802431156524
MAN1A2,0.0008770451148606203
ZNF827,0.0008770010600446099
IL17REL,0.0008758244479912538
RILP,0.0008751512834044941
UAP1,0.0008750836913113476
TNFAIP8L2,0.0008739877339091168
RN7SL138P,0.00087271513302839
AP3B2,0.0008721540614539167
IGKV7-3,0.0008718959567606399
EPRS1,0.0008717963825782862
HNRNPA1P63,0.0008716729306513338
CACNA1I,0.0008707873795572958
XXYLT1-AS1,0.000870424670425162
ABCC9,0.000870017501405826
SYT5,0.0008685349343679993
C19orf57,0.0008681236501438334
LMO7,0.0008671086046097916
MSH5,0.0008643351011422313
FAM120C,0.000857532849785178
IGHV3-64,0.0008563128158384667
TRAV3,0.0008562645360326461
PBDC1,0.000855896573879486
EML1,0.000854786077584466
NDST1,0.0008546950181123375
HOXC12,0.0008530621399679651
CLDN14,0.0008523983596307504
MPC1,0.0008501290632337534
ADAP2,0.0008498013077659497
WBP2,0.0008471333513012458
PAIP2,0.0008440201544104031
GLRA2,0.0008439961970873925
IL9RP4,0.000842810589832178
BGN,0.0008419857530277299
FAM218A,0.0008381793742571424
INSYN1,0.0008379175925974121
DPY19L2,0.0008362932178271622
EEF1GP8,0.0008362490371674232
FNDC4,0.0008325217923142016
TSC22D3,0.0008313134746902276
UCN,0.0008306590444939685
APIP,0.0008303745616524237
RSAD1,0.0008302333253389281
RN7SL37P,0.0008293203648424284
AGPAT1,0.0008292254821434231
POLG,0.0008279235183043874
G6PC3,0.0008275417051467192
CREB3L2,0.0008269361648035505
YPEL1,0.0008248305481711723
DPCD,0.0008242976639189656
GPR45,0.0008236905956980375
ANXA1,0.0008234605331716028
FASTKD2,0.0008209678008424168
LRRC53,0.0008206097422810511
C8orf48,0.0008173416533132494
LINC02675,0.0008163634851182399
TMEM243,0.0008150204964946886
RNASEK,0.0008120740856116518
MBD4,0.0008111280503818125
DKKL1,0.000811104986431056
EEF1A1P41,0.0008103004321010026
VN1R68P,0.0008091794776737022
ZNF638,0.0008086604127454042
FGF5,0.00080791107699145
TRIM60,0.0008028979354487466
C3orf20,0.0008026976501445582
POLR3A,0.0008025722412438696
RNU1-61P,0.0008022480575704915
PPIB,0.0007997093403203562
RBMY1J,0.0007989187763712268
ABLIM3,0.0007987156289941153
CCDC77,0.0007986619064153601
AHCTF1,0.0007985381611345415
OR7E29P,0.0007962407378408024
HLA-J,0.0007927637344110733
OGFOD1P1,0.0007906906221439081
IL17RB,0.0007897559804456489
HPSE,0.0007896382682229917
IKZF1,0.0007887987977184215
TLL1,0.0007883054657455474
CTNNB1,0.0007865972775043576
MAP3K3,0.0007865644035906578
PEAK1,0.0007860867190463634
KCNK16,0.0007844270575811899
GRM3-AS1,0.0007836878832163381
CDX1,0.000782528812411134
LINC01163,0.0007823479751567417
MIR431,0.000781202864642391
ADAMTS6,0.0007799482131516958
BARHL1,0.0007796611203049872
DCK,0.00077837409846262
PLEKHA7,0.0007762336729454811
EP300-AS1,0.0007755801299515519
USH2A,0.0007734046463540431
LPAR5,0.0007723936795453434
CCDC61,0.0007704964944621189
CCT3,0.0007684954255595845
OR51S1,0.000764266818011143
PRELID1,0.0007622898338588296
LINC01620,0.0007619306911648135
ABTB2,0.0007599449641381022
EIF4A1P9,0.0007583154992803071
MIIP,0.0007580747022570304
TMED2-DT,0.0007571977386193278
PTGES3,0.0007568728995908326
IK,0.0007555322109956474
MAGEA4,0.0007550941120249235
MTTP,0.0007543755172323377
SEPTIN8,0.000753416991021228
BICDL2,0.0007474394267987983
RNU1-153P,0.0007466514859791809
SREBF2-AS1,0.000746590005479729
BACH1,0.000744396692490651
BAZ2A,0.000743132266250983
